ENERGY_BIN_INDEX,current_FHT,energy_FHT,error_FHT,current_PAN,energy_PAN,error_PAN,current_SPA,energy_SPA,error_SPA,current_nPKT,energy_nPKT,error_nPKT,current_PKT,energy_PKT,error_PKT
133,0.007291267,2.1544e-05,0.0117,0.007269439,2.1544e-05,0.0117,0.007391371,2.1544e-05,0.0116,0.007612902,2.1544e-05,0.0114,0.007733886,2.1544e-05,0.0113
134,0.007465003,2.3223e-05,0.0116,0.007379299,2.3223e-05,0.0117,0.007450447,2.3223e-05,0.0116,0.007851582,2.3223e-05,0.0112,0.007784466,2.3223e-05,0.0113
135,0.007223359,2.5032e-05,0.0118,0.007426255,2.5032e-05,0.0116,0.007378747,2.5032e-05,0.0117,0.007774206,2.5032e-05,0.0113,0.007775262,2.5032e-05,0.0113
136,0.007244143,2.6982e-05,0.0118,0.007453027,2.6982e-05,0.0116,0.007481647,2.6982e-05,0.0116,0.007868538,2.6982e-05,0.0112,0.00785595,2.6982e-05,0.0112
137,0.007354999,2.9084e-05,0.0117,0.007360567,2.9084e-05,0.0117,0.007561831,2.9084e-05,0.0115,0.007911054,2.9084e-05,0.0113,0.007885962,2.9084e-05,0.0112
138,0.007444663,3.135e-05,0.0116,0.007490503,3.135e-05,0.0116,0.007328227,3.135e-05,0.0117,0.00803763,3.135e-05,0.0111,0.008195189,3.135e-05,0.011
139,0.007526719,3.3793e-05,0.0116,0.007478743,3.3793e-05,0.0116,0.007451311,3.3793e-05,0.0116,0.007993962,3.3793e-05,0.0112,0.008048309,3.3793e-05,0.0111
140,0.007547395,3.6425e-05,0.0116,0.00762387,3.6425e-05,0.0115,0.007672254,3.6425e-05,0.0115,0.007868898,3.6425e-05,0.0113,0.007994898,3.6425e-05,0.0112
141,0.007657926,3.9263e-05,0.0115,0.007733622,3.9263e-05,0.0115,0.00769305,3.9263e-05,0.0115,0.008119733,3.9263e-05,0.0111,0.008113457,3.9263e-05,0.0111
142,0.007644498,4.2322e-05,0.0115,0.007699014,4.2322e-05,0.0115,0.007600735,4.2322e-05,0.0115,0.008052953,4.2322e-05,0.0112,0.008148821,4.2322e-05,0.0111
143,0.00777093,4.5619e-05,0.0114,0.007530871,4.5619e-05,0.0116,0.007689114,4.5619e-05,0.0115,0.008083661,4.5619e-05,0.0112,0.008280545,4.5619e-05,0.011
144,0.007765674,4.9173e-05,0.0114,0.00782613,4.9173e-05,0.0114,0.007689246,4.9173e-05,0.0115,0.008171153,4.9173e-05,0.0111,0.008323001,4.9173e-05,0.011
145,0.00772623,5.3004e-05,0.0115,0.007809054,5.3004e-05,0.0114,0.007862562,5.3004e-05,0.0113,0.008308685,5.3004e-05,0.0111,0.008458481,5.3004e-05,0.0109
146,0.007739454,5.7134e-05,0.0115,0.00784473,5.7134e-05,0.0114,0.007900422,5.7134e-05,0.0114,0.008148149,5.7134e-05,0.0111,0.008374445,5.7134e-05,0.011
147,0.00776121,6.1585e-05,0.0114,0.007772526,6.1585e-05,0.0114,0.007929738,6.1585e-05,0.0113,0.008360933,6.1585e-05,0.011,0.008396465,6.1585e-05,0.011
148,0.007927326,6.6383e-05,0.0113,0.007950318,6.6383e-05,0.0113,0.008021286,6.6383e-05,0.0113,0.008468513,6.6383e-05,0.011,0.008546104,6.6383e-05,0.0109
149,0.008143193,7.1554e-05,0.0112,0.008015766,7.1554e-05,0.0113,0.008053541,7.1554e-05,0.0112,0.008563264,7.1554e-05,0.0109,0.008510956,7.1554e-05,0.0109
150,0.007994814,7.7129e-05,0.0113,0.00782703,7.7129e-05,0.0114,0.008086061,7.7129e-05,0.0112,0.008600932,7.7129e-05,0.0109,0.008751976,7.7129e-05,0.0108
151,0.007899654,8.3138e-05,0.0113,0.007906962,8.3138e-05,0.0113,0.008076989,8.3138e-05,0.0112,0.008530312,8.3138e-05,0.0109,0.0086026,8.3138e-05,0.0109
152,0.00801435,8.9615e-05,0.0113,0.008128589,8.9615e-05,0.0112,0.008116709,8.9615e-05,0.0112,0.008494084,8.9615e-05,0.011,0.008702344,8.9615e-05,0.0108
153,0.008246681,9.6597e-05,0.0111,0.008182697,9.6597e-05,0.0112,0.008172137,9.6597e-05,0.0112,0.008739388,9.6597e-05,0.0108,0.008972739,9.6597e-05,0.0107
154,0.008244449,0.00010412,0.0111,0.008116109,0.00010412,0.0112,0.008252885,0.00010412,0.0111,0.008761504,0.00010412,0.0108,0.008887888,0.00010412,0.0107
155,0.008308673,0.00011223,0.0111,0.008316773,0.00011223,0.0111,0.008213813,0.00011223,0.0112,0.008610028,0.00011223,0.0109,0.009126207,0.00011223,0.0106
156,0.008146649,0.00012098,0.0112,0.008189465,0.00012098,0.0111,0.008415809,0.00012098,0.011,0.008818936,0.00012098,0.0107,0.009077967,0.00012098,0.0106
157,0.008319473,0.0001304,0.0111,0.008203493,0.0001304,0.0112,0.008443709,0.0001304,0.011,0.008926683,0.0001304,0.0107,0.009161739,0.0001304,0.0106
158,0.008440373,0.00014056,0.011,0.008145329,0.00014056,0.0112,0.00852418,0.00014056,0.011,0.009081639,0.00014056,0.0106,0.009004923,0.00014056,0.0107
159,0.008358137,0.00015151,0.0111,0.008391113,0.00015151,0.011,0.008444021,0.00015151,0.011,0.009197451,0.00015151,0.0106,0.009179175,0.00015151,0.0106
160,0.008500768,0.00016332,0.011,0.008409101,0.00016332,0.011,0.008694976,0.00016332,0.0109,0.008939943,0.00016332,0.0107,0.009315507,0.00016332,0.0105
161,0.008511112,0.00017604,0.011,0.008449409,0.00017604,0.011,0.008662588,0.00017604,0.0109,0.009074271,0.00017604,0.0107,0.00935795,0.00017604,0.0105
162,0.008568652,0.00018976,0.011,0.00848074,0.00018976,0.011,0.008570152,0.00018976,0.011,0.009217383,0.00018976,0.0105,0.009164163,0.00018976,0.0106
163,0.008408789,0.00020454,0.011,0.008657212,0.00020454,0.0109,0.008927415,0.00020454,0.0108,0.009251847,0.00020454,0.0105,0.00940205,0.00020454,0.0104
164,0.008652376,0.00022047,0.0109,0.008673484,0.00022047,0.0109,0.008784532,0.00022047,0.0108,0.009342434,0.00022047,0.0105,0.009439238,0.00022047,0.0105
165,0.008730148,0.00023765,0.0108,0.00873322,0.00023765,0.0109,0.008834248,0.00023765,0.0108,0.00940697,0.00023765,0.0105,0.009495602,0.00023765,0.0104
166,0.008805688,0.00025617,0.0108,0.008760232,0.00025617,0.0108,0.008789188,0.00025617,0.0108,0.00938213,0.00025617,0.0105,0.009570494,0.00025617,0.0103
167,0.008853748,0.00027612,0.0108,0.00874942,0.00027612,0.0108,0.008902768,0.00027612,0.0107,0.00968639,0.00027612,0.0103,0.009661022,0.00027612,0.0103
168,0.008927007,0.00029764,0.0107,0.008875984,0.00029764,0.0108,0.008875648,0.00029764,0.0108,0.009673034,0.00029764,0.0103,0.009639926,0.00029764,0.0103
169,0.008945103,0.00032082,0.0107,0.008824348,0.00032082,0.0108,0.008861188,0.00032082,0.0108,0.00965909,0.00032082,0.0103,0.00975377,0.00032082,0.0103
170,0.009100791,0.00034582,0.0107,0.008916663,0.00034582,0.0107,0.009116175,0.00034582,0.0106,0.00959999,0.00034582,0.0104,0.009725894,0.00034582,0.0103
171,0.009090651,0.00037276,0.0107,0.009059007,0.00037276,0.0106,0.009098799,0.00037276,0.0106,0.009808441,0.00037276,0.0103,0.009832009,0.00037276,0.0102
172,0.009306687,0.0004018,0.0105,0.008959503,0.0004018,0.0107,0.009025479,0.0004018,0.0107,0.009891121,0.0004018,0.0102,0.010053348863575978,0.0004018,0.0102
173,0.009084951,0.0004331,0.0106,0.009192255,0.0004331,0.0106,0.009083343,0.0004331,0.0107,0.009985885,0.0004331,0.0102,0.009926281,0.0004331,0.0102
174,0.009265479,0.00046685,0.0106,0.009125631,0.00046685,0.0106,0.009303831,0.00046685,0.0105,0.009965161,0.00046685,0.0102,0.010217556485674325,0.00046685,0.0101
175,0.009296463,0.00050322,0.0105,0.009255015,0.00050322,0.0105,0.009432638,0.00050322,0.0105,0.010112724726930452,0.00050322,0.0101,0.010310184272503988,0.00050322,0.01
176,0.009297099,0.00054242,0.0105,0.009247935,0.00054242,0.0105,0.009393506,0.00054242,0.0105,0.010151496637702137,0.00054242,0.0101,0.010326192235663825,0.00054242,0.01
177,0.009439634,0.00058468,0.0105,0.009276795,0.00058468,0.0105,0.00944813,0.00058468,0.0105,0.010331412223650728,0.00058468,0.0101,0.010565687684497409,0.00058468,0.0099
178,0.009598058,0.00063023,0.0104,0.009369746,0.00063023,0.0105,0.009669266,0.00063023,0.0104,0.010227804462089991,0.00063023,0.01,0.010711991347799297,0.00063023,0.0099
179,0.009362678,0.00067933,0.0105,0.009569378,0.00067933,0.0104,0.00973403,0.00067933,0.0103,0.010320960247704538,0.00067933,0.01,0.010502256,0.00067933,0.0099
180,0.009740126,0.00073225,0.0103,0.00954383,0.00073225,0.0104,0.009737702,0.00073225,0.0103,0.010565123685795375,0.00073225,0.0099,0.010613735573921684,0.00073225,0.0099
181,0.009689606,0.0007893,0.0104,0.009473486,0.0007893,0.0104,0.009780841,0.0007893,0.0103,0.010510811810786816,0.0007893,0.01,0.010708511355808028,0.0007893,0.0098
182,0.009804325,0.00085079,0.0103,0.009584666,0.00085079,0.0104,0.009935797,0.00085079,0.0102,0.010669067446582855,0.00085079,0.0099,0.010769951214412496,0.00085079,0.0098
183,0.009779833,0.00091708,0.0103,0.00975125,0.00091708,0.0103,0.010040388893401598,0.00091708,0.0102,0.010619219561301027,0.00091708,0.0099,0.010997663,0.00091708,0.0097
184,0.009913465,0.00098852,0.0102,0.009869269,0.00098852,0.0102,0.010018260944326084,0.00098852,0.0102,0.010807763127393486,0.00098852,0.0098,0.011143558354606143,0.00098852,0.0097
185,0.009872281,0.0010655,0.0102,0.010132008682551036,0.0010655,0.0101,0.010058712851231487,0.0010655,0.0102,0.010972774747641538,0.0010655,0.0098,0.011200426223732426,0.0010655,0.0096
186,0.009843565,0.0011486,0.0102,0.009888733,0.0011486,0.0102,0.010103616747891236,0.0011486,0.0101,0.011022286633696624,0.0011486,0.0098,0.011385741797253674,0.0011486,0.0096
187,0.010174824584016022,0.001238,0.0101,0.009887473,0.001238,0.0102,0.010220148,0.001238,0.0101,0.010973122746840664,0.001238,0.0098,0.011231002153366055,0.001238,0.0096
188,0.010116888717347592,0.0013345,0.0101,0.010357332163999486,0.0013345,0.01,0.010229052459217895,0.0013345,0.0101,0.011286358025971993,0.0013345,0.0096,0.011652309,0.0013345,0.0095
189,0.010198680529114788,0.0014384,0.0101,0.010209120505088595,0.0014384,0.0101,0.010706555360309487,0.0014384,0.0099,0.011368473836993548,0.0014384,0.0096,0.011598789306953615,0.0014384,0.0095
190,0.010163844609284952,0.0015505,0.0101,0.010071684821378251,0.0015505,0.0101,0.010305384283550514,0.0015505,0.0101,0.011543649433850584,0.0015505,0.0095,0.011792744860591117,0.0015505,0.0095
191,0.010502423830090623,0.0016713,0.01,0.010182637,0.0016713,0.0101,0.010535591753759127,0.0016713,0.01,0.011566557381131038,0.0016713,0.0095,0.011811248818006758,0.0016713,0.0094
192,0.010326012236078068,0.0018015,0.01,0.010291428,0.0018015,0.01,0.010708787355172852,0.0018015,0.0099,0.011388621790625757,0.0018015,0.0096,0.012144932050079884,0.0018015,0.0093
193,0.010354248,0.0019419,0.01,0.010445411961295736,0.0019419,0.0099,0.010640136,0.0019419,0.0099,0.011851820724635998,0.0019419,0.0094,0.012244051821969124,0.0019419,0.0093
194,0.010640807511619277,0.0020932,0.0099,0.010488467862208396,0.0020932,0.01,0.010702235,0.0020932,0.0099,0.011898488617236148,0.0020932,0.0094,0.012278852,0.0020932,0.0092
195,0.010618116,0.0022562,0.0099,0.010461695923820395,0.0022562,0.0099,0.010887202944573479,0.0022562,0.0098,0.011821916793455853,0.0022562,0.0094,0.012460411324046962,0.0022562,0.0092
196,0.010599047607724052,0.002432,0.0099,0.010532111761767857,0.002432,0.0099,0.010982758724664764,0.002432,0.0098,0.012107372,0.002432,0.0093,0.012444811359948174,0.002432,0.0092
197,0.010066644832977102,0.0026215,0.0102,0.009966733,0.0026215,0.0102,0.010366512142873006,0.0026215,0.01,0.011398389768146076,0.0026215,0.0096,0.011650161188728171,0.0026215,0.0095
198,0.008618488,0.0028257,0.011,0.008439833,0.0028257,0.011,0.008935083,0.0028257,0.0108,0.009412646,0.0028257,0.0106,0.009903853,0.0028257,0.0103
199,0.008643676,0.0030459,0.011,0.00864028,0.0030459,0.0109,0.009068811,0.0030459,0.0107,0.009666614,0.0030459,0.0104,0.009955069,0.0030459,0.0102
200,0.010211400499841492,0.0032832,0.0101,0.010029780917814422,0.0032832,0.0101,0.010364652147153533,0.0032832,0.0101,0.010901182912400473,0.0032832,0.0098,0.011238022137210509,0.0032832,0.0097
201,0.010744235273594256,0.0035389,0.0098,0.010728887308915525,0.0035389,0.0098,0.011105290442674571,0.0035389,0.0098,0.012071372,0.0035389,0.0094,0.012602490997069796,0.0035389,0.0092
202,0.011007190668437947,0.0038146,0.0097,0.010847255036508192,0.0038146,0.0098,0.011539197444096235,0.0038146,0.0095,0.012343531593029873,0.0038146,0.0093,0.012940170219946688,0.0038146,0.0091
203,0.011263942077559269,0.0041118,0.0097,0.011396409772702768,0.0041118,0.0096,0.011424765707445416,0.0041118,0.0096,0.011876900666917899,0.0041118,0.0094,0.012347371584192652,0.0041118,0.0093
204,0.011526813472596273,0.0044322,0.0095,0.011301921990153632,0.0044322,0.0096,0.011804924832560555,0.0044322,0.0094,0.012788730568464584,0.0044322,0.0091,0.013352849270221616,0.0044322,0.0089
205,0.011903876604836423,0.0047775,0.0094,0.011579925350366465,0.0047775,0.0095,0.012279691739948667,0.0047775,0.0092,0.013088489878609035,0.0047775,0.009,0.013669768540874736,0.0047775,0.0088
206,0.012056012254716782,0.0051497,0.0093,0.011931896540352326,0.0051497,0.0094,0.012359371556576336,0.0051497,0.0092,0.013433489084639979,0.0051497,0.0089,0.014046447673998605,0.0051497,0.0087
207,0.012098132157783515,0.0055509,0.0093,0.012159932015559491,0.0055509,0.0093,0.012531571160282215,0.0055509,0.0092,0.013553248809029153,0.0055509,0.0089,0.014032767705481206,0.0055509,0.0087
208,0.010694411388257198,0.0059833,0.0099,0.010311600269245264,0.0059833,0.0101,0.010997170691497568,0.0059833,0.0098,0.012117692112768922,0.0059833,0.0094,0.012604410992651183,0.0059833,0.0092
209,0.011967920457448149,0.0064495,0.0094,0.011919644568548585,0.0064495,0.0093,0.012129932084600281,0.0064495,0.0093,0.012669810842142267,0.0064495,0.0091,0.013063289936603295,0.0064495,0.009
210,0.012341251598276974,0.0069519,0.0092,0.012154412028262996,0.0069519,0.0093,0.012406171448872709,0.0069519,0.0092,0.013252769500541684,0.0069519,0.0089,0.013572208765395376,0.0069519,0.0088
211,0.012310051670079392,0.0074935,0.0092,0.012523411179061309,0.0074935,0.0091,0.012361771551053074,0.0074935,0.0092,0.012571411,0.0074935,0.0092,0.013030530011995837,0.0074935,0.009
212,0.011766332921374623,0.0080773,0.0094,0.012366092,0.0080773,0.0092,0.011390194,0.0080773,0.0096,0.010888006942723188,0.0080773,0.0099,0.010813739113640562,0.0080773,0.0099
213,0.012215491887695955,0.0087066,0.0093,0.012522811180442125,0.0087066,0.0092,0.011977892434498991,0.0087066,0.0094,0.011451861645087776,0.0087066,0.0096,0.011521629484526522,0.0087066,0.0096
214,0.012810450518479054,0.0093849,0.0091,0.012615810966415683,0.0093849,0.0091,0.012918090270760709,0.0093849,0.0091,0.012997170088769194,0.0093849,0.009,0.013302089387038628,0.0093849,0.0089
215,0.013119449807358944,0.010116,0.009,0.012842130445571982,0.010116,0.009,0.013059929944335866,0.010116,0.009,0.013477768982735776,0.010116,0.0089,0.014182167361658083,0.010116,0.0087
216,0.013080809896283475,0.010904,0.009,0.013002810075789524,0.010904,0.009,0.013352489271050103,0.010904,0.0089,0.013859008,0.010904,0.0088,0.014308287071410613,0.010904,0.0086
217,0.013380809205875602,0.011754,0.0089,0.013222529570134796,0.011754,0.0089,0.013595368712095888,0.011754,0.0088,0.013801288238199923,0.011754,0.0088,0.014460926720131086,0.011754,0.0086
218,0.013934008,0.012669,0.0087,0.013498408935235715,0.012669,0.0088,0.013710808446426938,0.012669,0.0088,0.013843288141542821,0.012669,0.0088,0.014552966508313949,0.012669,0.0086
219,0.013811728,0.013656,0.0087,0.013481849,0.013656,0.0088,0.013824688,0.013656,0.0088,0.013955248,0.013656,0.0088,0.014671886234636267,0.013656,0.0085
220,0.013874008070845052,0.01472,0.0088,0.013873888071121217,0.01472,0.0087,0.014048847668475344,0.01472,0.0087,0.013676488525409598,0.01472,0.0089,0.014473526691133954,0.01472,0.0086
221,0.014148087440088417,0.015867,0.0087,0.013955967882225622,0.015867,0.0087,0.014176527,0.015867,0.0087,0.013395569171907533,0.015867,0.009,0.013775008298679654,0.015867,0.0088
222,0.014053047658809633,0.017103,0.0087,0.014177367,0.017103,0.0086,0.013989087806004594,0.017103,0.0087,0.012790890563493647,0.017103,0.0091,0.013340249299218747,0.017103,0.009
223,0.013909407989376923,0.018436,0.0087,0.014336367006788435,0.018436,0.0086,0.014118327508576878,0.018436,0.0087,0.012494131,0.018436,0.0093,0.013360169253375662,0.018436,0.0089
224,0.014261967178009588,0.019872,0.0086,0.014055927652181718,0.019872,0.0087,0.013638088613781806,0.019872,0.0088,0.011982104424805665,0.019872,0.0094,0.012587251032142513,0.019872,0.0092
225,0.014013568,0.02142,0.0087,0.014217687279913791,0.02142,0.0086,0.013886608041847923,0.02142,0.0087,0.013422569109770823,0.02142,0.0089,0.013868488083548559,0.02142,0.0088
226,0.015275844844707133,0.023089,0.0084,0.014979205527382437,0.023089,0.0084,0.015201205016480611,0.023089,0.0084,0.015642444,0.023089,0.0083,0.016545081923729492,0.023089,0.0081
227,0.015576084153746929,0.024888,0.0083,0.015316404751363987,0.024888,0.0083,0.015763283722932415,0.024888,0.0082,0.015905483,0.024888,0.0082,0.016741761,0.024888,0.008
228,0.016801521,0.026827,0.008,0.015969323248760284,0.026827,0.0082,0.017427439893101845,0.026827,0.0079,0.018887596532748633,0.026827,0.0076,0.020131514,0.026827,0.0074
229,0.013030770011443512,0.028917,0.009,0.014546007,0.028917,0.0085,0.011619909258348902,0.028917,0.0095,0.009284103,0.028917,0.0107,0.009107811,0.028917,0.0108
230,0.015211885,0.03117,0.0084,0.015786563669356764,0.03117,0.0082,0.014749166056787198,0.03117,0.0085,0.013596328709886583,0.03117,0.0089,0.013544248829741392,0.03117,0.0089
231,0.013265249471820716,0.033598,0.0089,0.012811770515441261,0.033598,0.0091,0.013511849,0.033598,0.0089,0.015126805187701764,0.033598,0.0085,0.015090565271103036,0.033598,0.0085
232,0.006598425,0.036216,0.0126,0.006182362,0.036216,0.013,0.007565419,0.036216,0.0118,0.010747259266634945,0.036216,0.01,0.010642259508277702,0.036216,0.01
233,0.009640526,0.039037,0.0105,0.009111807,0.039037,0.0107,0.010426512004791432,0.039037,0.0101,0.012625650943770307,0.039037,0.0092,0.012719970726706071,0.039037,0.0092
234,0.013514488898229853,0.042078,0.0089,0.013296689,0.042078,0.0089,0.014266527167515388,0.042078,0.0087,0.016497082,0.042078,0.0081,0.017018720833713537,0.042078,0.008
235,0.015230245,0.045357,0.0084,0.014817326,0.045357,0.0085,0.016168762789777132,0.045357,0.0082,0.018692116982618405,0.045357,0.0076,0.018891316524187577,0.045357,0.0076
236,0.016878081,0.04889,0.008,0.016194322730954377,0.04889,0.0081,0.017348360075093362,0.04889,0.0079,0.019881914,0.04889,0.0074,0.020844432029356146,0.04889,0.0073
237,0.018777196786818735,0.052699,0.0076,0.018310277861369552,0.052699,0.0077,0.019444635,0.052699,0.0075,0.021465430600211843,0.052699,0.0072,0.022348149,0.052699,0.007
238,0.013816408203403366,0.056805,0.0088,0.013476449,0.056805,0.0089,0.013980808,0.056805,0.0087,0.014400926858212662,0.056805,0.0087,0.015098245253428594,0.056805,0.0085
239,0.014789725963444054,0.06123,0.0085,0.014423966805189335,0.06123,0.0086,0.015334885,0.06123,0.0084,0.016829001,0.06123,0.0081,0.017749519151879955,0.06123,0.0078
240,0.017531719653116066,0.066001,0.0078,0.016967961,0.066001,0.0079,0.017646439389104096,0.066001,0.0078,0.020054593847061996,0.066001,0.0074,0.020830512,0.066001,0.0073
241,0.018204078,0.071143,0.0077,0.017874919,0.071143,0.0078,0.018944356402123462,0.071143,0.0076,0.02160847,0.071143,0.0071,0.022654268,0.071143,0.007
242,0.017527039663886433,0.076685,0.0079,0.017485759758886554,0.076685,0.0078,0.017090601,0.076685,0.008,0.018499517425860264,0.076685,0.0077,0.019397595359055247,0.076685,0.0075
243,0.012448171352215607,0.08266,0.0093,0.013208009603550537,0.08266,0.009,0.012143492053393844,0.08266,0.0094,0.013068449924728281,0.08266,0.0091,0.013460249023055596,0.08266,0.009
244,0.007442395,0.089099,0.0119,0.007762314,0.089099,0.0116,0.007171711,0.089099,0.0121,0.008189009,0.089099,0.0115,0.008361089,0.089099,0.0113
245,0.010927127,0.096041,0.0099,0.010830767,0.096041,0.0099,0.011718933030459068,0.096041,0.0096,0.014226567259477718,0.096041,0.0087,0.014497166636729814,0.096041,0.0087
246,0.015879683,0.10352,0.0082,0.015521484279401162,0.10352,0.0083,0.016731201495400447,0.10352,0.008,0.019568835,0.10352,0.0075,0.020012234,0.10352,0.0074
247,0.019625474834621424,0.11159,0.0074,0.019014916239739534,0.11159,0.0075,0.020098873745157796,0.11159,0.0074,0.023160187,0.11159,0.0069,0.024021304718212903,0.11159,0.0068
248,0.018582677234479202,0.12028,0.0076,0.018047598,0.12028,0.0077,0.019461795211307958,0.12028,0.0075,0.023141706742488794,0.12028,0.0069,0.024323944021729438,0.12028,0.0068
249,0.022133469,0.12965,0.007,0.021596350298917842,0.12965,0.0071,0.023247906498084406,0.12965,0.0069,0.026855698,0.12965,0.0065,0.028521294362094763,0.12965,0.0063
250,0.019103596035654962,0.13975,0.0075,0.018496637432488177,0.13975,0.0076,0.019976114027672697,0.13975,0.0074,0.023743985356425943,0.13975,0.0069,0.024578583435711232,0.13975,0.0068
251,0.015359725,0.15064,0.0084,0.014836405856016588,0.15064,0.0085,0.016441642,0.15064,0.0081,0.019661835,0.15064,0.0075,0.019876994255783462,0.15064,0.0074
252,0.015529404261174395,0.16238,0.0083,0.014542646532063979,0.16238,0.0086,0.016970960943626472,0.16238,0.008,0.022267748753785017,0.16238,0.0071,0.022398068453871836,0.16238,0.007
253,0.015032725404213673,0.17503,0.0085,0.014344166988837831,0.17503,0.0086,0.016298482491244767,0.17503,0.0082,0.019681154706481723,0.17503,0.0075,0.020574792649894744,0.17503,0.0073
254,0.011250190109207569,0.18866,0.0097,0.010357392163861405,0.18866,0.0101,0.011712645044930017,0.18866,0.0096,0.013969167851847675,0.18866,0.0089,0.014878765758530995,0.18866,0.0086
255,0.010566335683006129,0.20336,0.0101,0.009977041,0.20336,0.0103,0.011130526,0.20336,0.0098,0.012818130500804614,0.20336,0.0092,0.013301489388419442,0.20336,0.0091
256,0.011045446580397135,0.21921,0.0098,0.010409256044503691,0.21921,0.0101,0.011766344921347009,0.21921,0.0096,0.014431406788067222,0.21921,0.0087,0.014927125647237248,0.21921,0.0086
257,0.013593449,0.23628,0.0089,0.01283229,0.23628,0.0091,0.014232807245117234,0.23628,0.0087,0.016151482829544622,0.23628,0.0082,0.017070560714411057,0.23628,0.0081
258,0.013546048825598943,0.25469,0.0089,0.013152089732242566,0.25469,0.009,0.014174007380437177,0.25469,0.0087,0.016158563,0.25469,0.0082,0.016995321,0.25469,0.0081
259,0.015271404854925168,0.27453,0.0084,0.014769566009839462,0.27453,0.0086,0.015534924248470892,0.27453,0.0084,0.017754199141109588,0.27453,0.0079,0.018587717222880346,0.27453,0.0077
